plant_name
Blue star
Blue thistle
Blue tinnea
Blue tinsel lily
Blue tulp
Blue twinflower
Blue wild rye
Blue woodruff
Blueberrry bush
Blueblossom
Bluebowls
Blueflower butterwort
Blueflower eryngo
Bluestem yucca
Bluewitch nightshade
Bluff cinquefoil
Bluish fennel
Blunt broom sedge
Blunt spikerush
Bluntflower rush
Bluntleaf bedstraw
Bluntleaf sandwort
Bluntleaf waterleaf
Blushing bride
Boarwood
Bodie hills cusickiella
Bog alkaligrass
Bog aster
Bog blueberry
Bog goldenrod
Bog gum
Bog rush
Bog sage
Bog saxifrage
Bog sedge
Bog star
Bog stitchwort
Bog white violet
Bog willowherb
Bog yelloweyed grass
Bohemian knotweed
Bohemian sedge
Boldo
Bolinas manzanita
Bolivian coconut
Bolivian fuchsia
Bolivian nasturtium
Bolivian panicgrass
Bollean mistletoe
Bolwarra
Boneset
Bonneville pea
Bonsai crassula
Boobialla
Boojum tree
Book aloe
Bookara gum
Boquila
Border creepingfern
Border pricklypear
Border privet
Boreal starwort
Boreal wild rye
Borneo golden fern
Borreria
Borsig palm
Boston daisy
Boston fern
Boswellia
Bototo
Bottle cactus
Bottle gentian
Bottle palm
Bottle sedge
Bottle tree
Bottlebrush sedge
Bottlebrush squirreltail
Bottlebrush threeawn
Bottomland post oak
Bougainvillea
Bowerplant
Bowles perennial wallflower
Boxboard
Boxthorn
Boynton oak
Boza
Bracelet
Bracelet honey myrtle
Bracken
Bracken fern
Bracketplant
Brackwater mangrove
Bracteate lousewort
Bracted alumroot
Bracted fanpetals
Bracted jewelflower
Bracted passionflower
Bracted plantain
Bracted popcornflower
Brain cactus
Bramble vetch
Branched centaury
Branched foldwing
Branched horsetail
Branched lagophylla
Branching phacelia
Brandybush
Brazilian begonia
Brazilian bluewood
Brazilian copal
Brazilian copperlily
Brazilian coral tree
Brazilian cress
Brazilian firespike
Brazilian firetree
Brazilian flame bush
Brazilian grapetree
Brazilian guava
Brazilian jalap
Brazilian jointtvetch
Brazilian joyweed
Brazilian nightshade
Brazilian passionflower
Brazilian pennywort
Brazilian peperomia
Brazilian peppertree
Brazilian pricklypear
Brazilian rosemallow
Brazilian rosewood
Brazilian vervain
Brazilnut
Brazos river yucca
Bread flower
Breadfruit
Breadnut
Breckland speedwell
Breckland thyme
Breede river yellowwood
Breekhout
Bregu
Breitblttriges hornkraut
Breton fescue
Bretonica peluda
Bretonica prieta
Brewer spruce
Brewster county barometerbush
Brexia
Bribie island pine
Brickberry cotoneaster
Bridal boquet
Bridal broom
Bridal rainbow
Bridelia
Bridewort
Brigalow
Bright green bramble
Bright green dudleya
Brillantaisia
Brimeura
Brimstonetree
Brisbane box
Bristle bent
Bristle flax
Bristle grass
Bristlefruit hedgeparsley
Bristleleaf bulrush
Bristleleaf chaffhead
Bristleleaf pricklyleaf
Bristleleaf sedge
Bristletips
Bristly bellflower
Bristly black gooseberry
Bristly blackberry
Bristly buttercup
Bristly linanthus
Bristly starbur
Bristly yarrow
British alkaligrass
British columbia red cedar
British honduras yellowwood
British timothy
Brittle bladder fern
Brittle gum
Brittle maidenhair
Brittle spineflower
Brittle thatch palm
Brittlebush
Broad halberd fern
Broad looseflower sedge
Broad spurge
Broad stalkgrass
Broadbeard beardtongue
Broadfruit mariposa lily
Broadleaf aloe
Broadleaf banksia
Broadleaf bottletree
Broadleaf chasmanthium
Broadleaf chervil
Broadleaf glandweed
Broadleaf harebell
Broadleaf ironweed
Broadleaf knotweed
Broadleaf lancepod
Broadleaf lavender
